Index,2012-01-28,2013-02-02,2014-02-01,2015-01-31,2016-01-30,2017-01-28,2018-02-03,2019-02-02,2020-02-01,2021-01-30,2022-01-29,2023-01-28
Mscore,-3.8113011751,-3.2604974364,-3.3755088426,-3.5870116628,-4.0739609151,-20.8334960517,-1.8888973999,-2.6379416753,-9.5252867271,-3.0345783246,-0.6918392002,-2.3214561534
Zscore,-3.8111572379,-3.6412046409,-3.7514869396,-3.7132516052,-3.8953101058,-3.6204468088,-3.5236414706,-3.7008762827,-1.7376229446,-2.0059692889,-2.3991455419,-2.5729766812
McKee,0.6103024325,0.8091998549,0.6707717814,0.7200820429,0.552956724,0.2083792432,0.235656785,0.2585079937,0.1341914262,0.227420249,0.7842674354,0.7384906068
