Info,MLI
Name,Mueller Industries, Inc.
Price,46.29
Changes Percentage,-0.4516
Change,-0.21
Day Low,45.2
Day High,46.31
52 Week High,48.7
52 Week Low,31.255
Market Cap,5254840800
Price Avg50,43.3934
Price Avg200,39.72235
Exchange,NYSE
Volume,715607
Avg Volume,653409
Open,45.92
Previous Close,46.5
Eps,5.49
Pe,8.43
Earnings Announcement,2024-02-05 13:30:00
Shares Outstanding,113520000
Timestamp,2024-01-19 13:00:02
