Index,2019-12-31,2020-12-31,2021-12-31,2022-12-31
Mscore,-2.712992901,-2.4568837637,-1.6198331452,-3.0662750816
Zscore,-1.7203860261,-2.0352556319,-3.9980286676,-4.5582512689
McKee,0.0309384327,0.1321628497,0.8762361041,0.7163343873
